db_id,query,question,hardness,lang
criminal_offences_registered_by_police,"SELECT T.year AS year_with_most_crimes, T.number_criminal_offences_registered
FROM criminal_offences_registered_by_police AS T
JOIN spatial_unit AS S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.name = 'Switzerland'
  AND S.country = 'TRUE'
  AND T.offence_criminal_code = 'Offence - total'
GROUP BY T.year, T.number_criminal_offences_registered
ORDER BY T.number_criminal_offences_registered DESC LIMIT 1;
"," In which year were there the most crimes in Switzerland? Also please provide the number of committed crimes.
",unknown,en
criminal_offences_registered_by_police,"SELECT T.number_criminal_offences_solved as solved_criminal_offences_2022_bern
FROM criminal_offences_registered_by_police AS T
JOIN spatial_unit AS S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.name LIKE '%Bern%'
  AND S.canton = 'TRUE'
  AND T.offence_criminal_code = 'Offence - total'
  AND T.year = 2022;
"," How many crimes were solved in Bern in 2022?
",unknown,en
criminal_offences_registered_by_police,"SELECT T.offence_criminal_code
FROM criminal_offences_registered_by_police AS T
JOIN spatial_unit AS S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.name LIKE '%Bern%'
  AND S.canton = 'TRUE'
  AND T.year = 2020
  AND T.offence_criminal_code != 'Offence - total'
  AND T.number_criminal_offences_registered IS NOT NULL
GROUP BY T.offence_criminal_code, T.number_criminal_offences_registered
ORDER BY T.number_criminal_offences_registered DESC LIMIT 1;
"," What was the most committed crime in 2020 in the canton of Bern?
",unknown,en
criminal_offences_registered_by_police,"SELECT T.offence_category, SUM(number_criminal_offences_registered) AS number_criminal_offences
FROM criminal_offences_registered_by_police AS T
JOIN spatial_unit AS S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.name = 'Switzerland'
  AND S.country = 'TRUE'
  AND T.offence_criminal_code != 'Offence - total'
GROUP BY T.offence_category, S.name
ORDER BY number_criminal_offences DESC LIMIT 1;
"," What is the category of the most frequently committed crimes in Switzerland and how many such crimes were commited?
",unknown,en
criminal_offences_registered_by_police,"SELECT T.offence_category,
100 * SUM(T.number_criminal_offences_solved) / SUM(T.number_criminal_offences_registered)
AS crime_detection_rate
FROM criminal_offences_registered_by_police AS T
JOIN spatial_unit AS S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.name = 'Switzerland'
  AND S.country = 'TRUE'
  AND T.year = 2019
  AND T.offence_criminal_code != 'Offence - total'
GROUP BY T.offence_category
ORDER BY crime_detection_rate LIMIT 3;
"," Which three crime categories had the lowest crime detection rate in 2019 in Switzerland and what were these rates?
",unknown,en
criminal_offences_registered_by_police,"SELECT T.offence_category, SUM(T.number_criminal_offences_attempted) AS number_of_attempted_crimes,
  SUM(T.number_criminal_offences_registered) AS number_of_committed_crimes,
  ROUND(100 * SUM(T.number_criminal_offences_attempted) / SUM(T.number_criminal_offences_registered), 2) AS prevention_rate
FROM criminal_offences_registered_by_police AS T
JOIN spatial_unit AS S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.name = 'Switzerland'
  AND S.country = 'TRUE'
  AND T.year = 2022
  AND T.number_criminal_offences_registered != 0
  AND T.offence_criminal_code != 'Offence - total'
GROUP BY T.offence_category
ORDER BY prevention_rate DESC;
"," How were the crime prevention rates in Switzerland for 2022 per crime category. Also provide the number of attempted and committed crimes? Order by prevention rate.
",unknown,en
criminal_offences_registered_by_police,"SELECT T.offence_category,
   SUM(CASE WHEN T.year = 2019
       THEN T.number_criminal_offences_registered ELSE 0 END) AS number_offences_2019,
   SUM(CASE WHEN T.year = 2020
       THEN T.number_criminal_offences_registered ELSE 0 END) AS number_offences_2020,
   SUM(CASE WHEN T.year = 2020
       THEN T.number_criminal_offences_registered ELSE 0 END) -
   SUM(CASE WHEN T.year = 2019
       THEN T.number_criminal_offences_registered ELSE 0 END) AS increase
FROM criminal_offences_registered_by_police AS T
JOIN spatial_unit AS S ON T.spatialunit_uid = S.spatialunit_uid
WHERE S.canton = 'TRUE'
  AND S.name LIKE '%Zurich%'
  AND T.year IN (2019, 2020)
  AND T.offence_criminal_code != 'Offence - total'
GROUP BY T.offence_category
HAVING SUM(CASE WHEN T.year = 2019
       THEN T.number_criminal_offences_registered ELSE 0 END) > 100
ORDER BY increase DESC;
"," Compare the years 2019 and 2020 regarding offence categories that had over a 100 incidents in Kanton of Zurich. Provide the difference and order by how much they increased.
",unknown,en
number_of_plantations_in_swiss_forest,"SELECT S.name as canton
FROM number_of_plantations_in_swiss_forest as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.canton = 'TRUE'
  AND T.year = 2019
  AND T.forest_zone = 'Switzerland'
  AND T.wood_species = 'Species - total'
  AND T.type_of_owner = 'Private forest'
ORDER BY number_of_plantations DESC LIMIT 1;
"," Which canton had the most private forests in 2019?
",unknown,en
number_of_plantations_in_swiss_forest,"SELECT
  ROUND(100 * SUM(CASE WHEN LOWER(type_of_owner) LIKE '%private%'
        THEN number_of_plantations ELSE 0 END) /
    SUM(CASE WHEN LOWER(type_of_owner) LIKE '%total%'
        THEN number_of_plantations ELSE 0 END), 2) AS percentage_private_forests,
  ROUND(100 * SUM(CASE WHEN LOWER(type_of_owner) LIKE '%public%'
       THEN number_of_plantations ELSE 0 END) /
    SUM(CASE WHEN LOWER(type_of_owner) LIKE '%total%'
       THEN number_of_plantations ELSE 0 END), 2) AS percentage_public_forests
FROM number_of_plantations_in_swiss_forest as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.country = 'TRUE'
  AND T.year = 2022
  AND S.name = 'Switzerland'
  AND T.wood_species = 'Species - total';
"," What was the proportion of private to public forests in Switzerland in 2022?
",unknown,en
number_of_plantations_in_swiss_forest,"SELECT
  (SUM(CASE WHEN LOWER(wood_species) LIKE '%deciduous%' AND year = 2022
       THEN number_of_plantations ELSE 0 END) -
   SUM(CASE WHEN LOWER(wood_species) LIKE '%deciduous%' AND year = 1975
       THEN number_of_plantations ELSE 0 END)) AS difference_deciduous_number_of_forests_1975_to_2022,
  (SUM(CASE WHEN LOWER(wood_species) LIKE '%conifers%' AND year = 2022
       THEN number_of_plantations ELSE 0 END) -
   SUM(CASE WHEN LOWER(wood_species) LIKE '%conifers%' AND year = 1975
       THEN number_of_plantations ELSE 0 END)) AS difference_conifers_number_of_forests_1975_to_2022,
  (SUM(CASE WHEN LOWER(wood_species) LIKE '%total%' AND year = 2022
       THEN number_of_plantations ELSE 0 END) -
   SUM(CASE WHEN LOWER(wood_species) LIKE '%total%' AND year = 1975
       THEN number_of_plantations ELSE 0 END)) AS difference_total_number_of_forests_1975_to_2022
FROM number_of_plantations_in_swiss_forest as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.country = 'TRUE'
  AND T.year IN (1975, 2022)
  AND S.name = 'Switzerland'
  AND T.forest_zone = 'Switzerland'
  AND T.type_of_owner = 'Type of owners - total';
"," How much did the number of Swiss forest change from 1975 to 2022? Show the change in total and by forest type as conifers or deciduous.
",unknown,en
