db_id,question,query,generated_query,hardness,lang,process_time,Max_Score,Avg_Score
criminal_offences_registered_by_police,"Which offences had over 10,000 incidents in Switzerland in 2022. Provide the criminal codes and the number of incidents.","SELECT T.offence_criminal_code,
  SUM(T.number_criminal_offences_registered) AS offences_per_year
FROM criminal_offences_registered_by_police AS T
JOIN spatial_unit AS S ON T.spatialunit_uid = S.spatialunit_uid
WHERE S.name = 'Switzerland'
  AND S.country = 'TRUE'
  AND T.year = 2022
  AND T.number_criminal_offences_registered > 10000
  AND T.offence_criminal_code != 'Offence - total'
GROUP BY T.year, T.offence_criminal_code
ORDER BY offences_per_year DESC;","SELECT offence_criminal_code, number_criminal_offences_registered
FROM experiment.criminal_offences_registered_by_police
WHERE year = 2022 AND number_criminal_offences_registered > 10000;",unknown,en,5.169472706038505,0,0
criminal_offences_registered_by_police,What is the most committed crime in Switzerland?,"SELECT T.offence_criminal_code AS most_common_criminal_offence
FROM criminal_offences_registered_by_police AS T
JOIN spatial_unit AS S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.name = 'Switzerland'
  AND S.country = 'TRUE'
  AND T.offence_criminal_code != 'Offence - total'
  AND T.number_criminal_offences_registered IS NOT NULL
GROUP BY T.offence_criminal_code
ORDER BY SUM(T.number_criminal_offences_registered) DESC LIMIT 1;","SELECT offence_criminal_code, SUM(number_criminal_offences_registered) AS total_offences
FROM experiment.criminal_offences_registered_by_police
GROUP BY offence_criminal_code
ORDER BY total_offences DESC
LIMIT 1;",unknown,en,4.33599597401917,0,0
criminal_offences_registered_by_police,What was the clearance rate for bribery in 2021 in Switzerland,"SELECT 100 * SUM(T.number_criminal_offences_solved) / SUM(T.number_criminal_offences_registered)
AS clearance_rate_for_bribery
FROM criminal_offences_registered_by_police AS T
JOIN spatial_unit AS S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.name = 'Switzerland'
  AND S.country = 'TRUE'
  AND T.year = 2021
  AND T.number_criminal_offences_registered IS NOT NULL
  AND T.offence_category = 'Bribery';","SELECT (number_criminal_offences_completed_solved / number_criminal_offences_registered) * 100 AS clearance_rate
FROM experiment.criminal_offences_registered_by_police
WHERE offence_criminal_code = 'Bribery' AND year = 2021",unknown,en,8.707808964885771,0,0
number_of_plantations_in_swiss_forest,List for each year the number of forests in Kanton Uri?,"SELECT T.year, SUM(T.number_of_plantations) AS number_of_plantations_canton_uri
FROM number_of_plantations_in_swiss_forest as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.canton = 'TRUE' AND S.name_de LIKE '%Uri%'
  AND T.type_of_owner = 'Type of owners - total'
  AND T.wood_species = 'Species - total'
  AND T.forest_zone != 'Switzerland'
  AND T.number_of_plantations != 0
GROUP BY T.year
ORDER BY T.year DESC;","SELECT year, COUNT(*) AS number_of_forests
FROM experiment.number_of_plantations_in_swiss_forest
JOIN experiment.spatial_unit ON experiment.number_of_plantations_in_swiss_forest.spatialunit_uid = experiment.spatial_unit.spatialunit_uid
WHERE experiment.spatial_unit.name = 'Uri'
GROUP BY year
ORDER BY year;",unknown,en,5.782019769772887,0,0
number_of_plantations_in_swiss_forest,"What were proportions, in percent, of deciduous and coniferous forests in Switzerland in 2020?","SELECT
  ROUND(100 * SUM(CASE WHEN LOWER(wood_species) LIKE '%deciduous%'
       THEN number_of_plantations ELSE 0 END) /
  SUM(CASE WHEN LOWER(wood_species) LIKE '%total%'
       THEN number_of_plantations ELSE 0 END),
  2) AS percentage_deciduous_forests,
    ROUND(100 * SUM(CASE WHEN LOWER(wood_species) LIKE '%conifers%'
       THEN number_of_plantations ELSE 0 END) /
   SUM(CASE WHEN LOWER(wood_species) LIKE '%total%'
       THEN number_of_plantations ELSE 0 END),
  2) AS percentage_coniferous_forests
FROM number_of_plantations_in_swiss_forest as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.country = 'TRUE'
  AND T.year = 2020
  AND S.name = 'Switzerland'
  AND T.type_of_owner = 'Type of owners - total';","SELECT 
    (SUM(CASE WHEN wood_species = 'Hardwood (deciduous)' THEN number_of_plantations ELSE 0 END) / 
    SUM(number_of_plantations)) * 100 AS deciduous_forest_percentage,
    (SUM(CASE WHEN wood_species = 'Softwood (conifers)' THEN number_of_plantations ELSE 0 END) / 
    SUM(number_of_plantations)) * 100 AS coniferous_forest_percentage
FROM 
    experiment.number_of_plantations_in_swiss_forest
WHERE 
    year = 2020
    AND forest_zone = 'Switzerland'",unknown,en,15.193762720096856,0,0
number_of_plantations_in_swiss_forest,By 2022: Which three forest zones had the most plantations in Switzerland? Provide the forest zones together with the number of plantations.,"SELECT T.forest_zone, SUM(T.number_of_plantations) as number_of_plantations
FROM number_of_plantations_in_swiss_forest as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.country = 'TRUE'
  AND T.type_of_owner = 'Type of owners - total'
  AND T.year = 2022
  AND T.number_of_plantations != 0 AND number_of_plantations IS NOT NULL
  AND T.forest_zone != 'Switzerland'
GROUP BY T.forest_zone
ORDER BY number_of_plantations DESC LIMIT 3;","SELECT forest_zone, SUM(number_of_plantations) AS total_plantations
FROM experiment.number_of_plantations_in_swiss_forest
WHERE year <= 2022
GROUP BY forest_zone
ORDER BY total_plantations DESC
LIMIT 3;",unknown,en,7.209109968971461,0,0
tourism_economy_by_canton,How many FTE were allocated to tourism were there in Switzerland 2019?,"SELECT T.total_full_time_employment_of_tourism
FROM tourism_economy_by_canton as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.country = 'TRUE'
    AND S.name = 'Switzerland'
    AND T.year = 2019;","SELECT total_full_time_employment_of_tourism
FROM experiment.tourism_economy_by_canton
JOIN experiment.spatial_unit ON tourism_economy_by_canton.spatialunit_uid = spatial_unit.spatialunit_uid
WHERE year = 2019
AND country = true",medium,en,6.657631743233651,0,0
tourism_economy_by_canton,Which canton has the most employees in the tourism sector in 2019?,"SELECT S.name AS canton
FROM tourism_economy_by_canton as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.canton = 'TRUE'
    AND T.year = 2019
ORDER BY T.total_full_time_employment_of_tourism DESC LIMIT 1;","SELECT spatialunit_uid
FROM experiment.tourism_economy_by_canton
WHERE year = 2019
ORDER BY total_full_time_employment_of_tourism DESC
LIMIT 1;",unknown,en,5.001936802640557,0,0
tourism_economy_by_canton,What canton got the most money from tourism in 2016?,"SELECT S.name AS canton
FROM tourism_economy_by_canton as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.canton = 'TRUE'
    AND T.year = 2016
ORDER BY T.mio_chf_gross_value_added_of_tourism DESC LIMIT 1;","SELECT spatialunit_uid
FROM experiment.tourism_economy_by_canton
WHERE year = 2016
ORDER BY mio_chf_gross_value_added_of_tourism DESC
LIMIT 1;",unknown,en,3.665884183719754,0,0
employees_farmholdings_agricultural_area_livestock_per_canton,What kind of animal farms existed in Kanton Uri in 2012? Give the number of each farm type.,"SELECT beef_cattle_and_cows_farm, horse_and_other_equine_farm,
  sheep_farm, goat_farm, pig_farms, poultry_farm, farms_with_other_animals
FROM employees_farmholdings_agricultural_area_livestock_per_canton as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.name LIKE '%Uri%'
    AND S.canton = 'TRUE'
    AND T.year = 2012
    AND T.farmholding_system = 'Farmholding system - total';","SELECT 
    beef_cattle_and_cows_farm,
    horse_and_other_equine_farm,
    sheep_farm,
    goat_farm,
    pig_farms,
    poultry_farm,
    farms_with_other_animals
FROM 
    experiment.employees_farmholdings_agricultural_area_livestock_per_canton
WHERE 
    spatialunit_uid = 'URI' AND year = 2012;",hard,en,11.175638830289245,0,0
